nb Sommet \ nbAretes	400000	
1000	197	
1100	169	
1200	150	
1300	166	
1400	131	
1500	126	
1600	95	
1700	113	
1800	93	
1900	90	
2000	103	
2100	99	
2200	98	
2300	117	
2400	93	
2500	95	
2600	104	
2700	109	
2800	101	
2900	144	
3000	106	
3100	96	
3200	121	
3300	99	
3400	105	
3500	117	
3600	113	
3700	119	
3800	130	
3900	114	
4000	115	
4100	124	
4200	105	
4300	126	
4400	118	
4500	143	
4600	112	
4700	181	
4800	161	
4900	209	
5000	152	
5100	168	
5200	159	
5300	138	
5400	156	
5500	156	
5600	163	
5700	165	
5800	141	
5900	150	
6000	181	
6100	143	
6200	155	
6300	179	
6400	166	
6500	204	
6600	231	
6700	179	
6800	192	
6900	207	
7000	197	
7100	215	
7200	217	
7300	183	
7400	245	
7500	213	
7600	215	
7700	250	
7800	240	
7900	246	
8000	294	
8100	264	
8200	270	
8300	245	
8400	247	
8500	273	
8600	292	
8700	255	
8800	306	
8900	254	
9000	285	
9100	305	
9200	274	
9300	287	
9400	299	
9500	293	
9600	352	
9700	340	
9800	351	
9900	411	
10000	319	

