nb Sommet \ nbAretes	400000	
1000	621	
1100	203	
1200	139	
1300	125	
1400	114	
1500	113	
1600	92	
1700	98	
1800	90	
1900	96	
2000	91	
2100	94	
2200	99	
2300	106	
2400	89	
2500	95	
2600	97	
2700	93	
2800	105	
2900	111	
3000	97	
3100	104	
3200	107	
3300	97	
3400	97	
3500	112	
3600	114	
3700	95	
3800	122	
3900	99	
4000	109	
4100	118	
4200	110	
4300	107	
4400	114	
4500	131	
4600	109	
4700	162	
4800	147	
4900	191	
5000	153	
5100	140	
5200	194	
5300	144	
5400	133	
5500	161	
5600	159	
5700	142	
5800	149	
5900	202	
6000	149	
6100	139	
6200	186	
6300	157	
6400	164	
6500	155	
6600	212	
6700	161	
6800	170	
6900	209	
7000	203	
7100	200	
7200	191	
7300	210	
7400	194	
7500	234	
7600	225	
7700	246	
7800	249	
7900	196	
8000	233	
8100	251	
8200	233	
8300	234	
8400	247	
8500	233	
8600	256	
8700	242	
8800	301	
8900	272	
9000	260	
9100	317	
9200	258	
9300	262	
9400	283	
9500	265	
9600	303	
9700	274	
9800	313	
9900	406	
10000	335	

