nb Sommet \ nbAretes	400000	
1000	281	
1100	191	
1200	136	
1300	116	
1400	108	
1500	100	
1600	92	
1700	99	
1800	89	
1900	101	
2000	110	
2100	99	
2200	83	
2300	106	
2400	114	
2500	114	
2600	108	
2700	133	
2800	108	
2900	141	
3000	99	
3100	128	
3200	86	
3300	94	
3400	92	
3500	101	
3600	96	
3700	106	
3800	118	
3900	103	
4000	109	
4100	98	
4200	111	
4300	98	
4400	96	
4500	124	
4600	110	
4700	125	
4800	122	
4900	119	
5000	111	
5100	112	
5200	122	
5300	123	
5400	147	
5500	133	
5600	121	
5700	135	
5800	144	
5900	178	
6000	134	
6100	160	
6200	142	
6300	146	
6400	143	
6500	155	
6600	186	
6700	145	
6800	187	
6900	164	
7000	175	
7100	166	
7200	204	
7300	180	
7400	173	
7500	203	
7600	181	
7700	224	
7800	198	
7900	223	
8000	199	
8100	202	
8200	207	
8300	227	
8400	241	
8500	205	
8600	261	
8700	235	
8800	241	
8900	244	
9000	216	
9100	259	
9200	252	
9300	276	
9400	236	
9500	282	
9600	243	
9700	276	
9800	276	
9900	290	
10000	285	

